date,Countries,TarrifImpose_Clean,avEffectiveTariffRate,US 2024 Deficit,gdp,cpeInflation,GDP_Sensitivity_Factor,Sourcing_Risk_Score,Risk_Label,Actionable_Insight
2025-03-04,Canada,0.25,0.488015667,-63335.8,-0.070225455,0.041593575,-0.001053866959999969,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$63B). Risk TRIPLED. Immediate exit advised.
2025-04-03,Mexico,0.25,3.174561178,-171809.2,-0.456819354,0.270567849,0.07194609995000029,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$172B). Risk TRIPLED. Immediate exit advised.
2025-04-02,Spain,0.25,0.25,,-0.022492595810000002,0.014590698789999988,-0.0011842563999999965,26.748495921999993,MEDIUM,Moderate Risk. Monitor situation.
2025-12-31,United Kingdom,0.15,0.15,11856.9,-0.014610555989999996,0.008381072359999998,0.0,16.717088208,LOW,Safe Haven Candidate. GDP Stable (-1.46%).
2025-04-09,Algeria,0.3,0.0,-1447.1,-0.000450509,0.00026683,-0.0014311533600000006,0.5205052,LOW,Safe Haven Candidate. GDP Stable (-0.05%).
2025-04-09,Angola,0.32,0.0,-1186.9,-0.000164025,9.72e-05,-0.0015518044400000017,0.18954,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Bangladesh,0.37,0.09,-6151.8,-0.01358227,0.008044592,0.0017866731700000062,15.692571200000003,LOW,Safe Haven Candidate. GDP Stable (-1.36%).
2025-04-09,Bosnia and Herzegovina,0.35,0.0,-126.1,-0.000240489,0.000142438,-0.0007950705199999998,0.277854,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Botswana,0.37,0.0,-300.8,-0.000659575,0.000390657,-0.00038017537999999963,0.7620542,LOW,Safe Haven Candidate. GDP Stable (-0.07%).
2025-04-09,Brunei,0.24,0.0,-111.6,-0.000199922,0.000118411,-0.0008352318499999999,0.23098420000000003,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,Cambodia,0.49,0.17,-12340.2,-0.024433664,0.014471725,0.0003178513799999942,28.2299662,MEDIUM,Moderate Risk. Monitor situation.
2025-04-09,Cameroon,0.11,0.0,-55.7,-3.61e-05,2.14e-05,-0.0009974156299999996,0.04172,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Chad,0.13,0.0,-20.9,-2.34e-06,1.39e-06,-0.00103083803,0.002706,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,China,0.34,3.48,-295401.6,-0.501436625,0.296994048,0.06308903389000065,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$295B). Risk TRIPLED. Immediate exit advised.
2025-04-09,Ivory Coast,0.21,0.01,,-0.000766526,0.000454003,-0.0013834493999999994,0.8856226000000001,LOW,Safe Haven Candidate. GDP Stable (-0.08%).
2025-04-09,Democratic Republic of the Congo,0.11,0.0,,-9.58e-06,5.67e-06,-0.0010236016299999997,0.011066,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Equatorial Guinea,0.13,0.0,-32.3,-2.75e-06,1.63e-06,-0.0010304321299999997,0.0031780000000000003,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,EU,0.2,1.99,,-0.28608502,0.169444241,0.15043965460999992,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$nanB). Risk TRIPLED. Immediate exit advised.
2025-04-09,Falkland Islands,0.41,0.0,,-4.11e-05,2.43e-05,-0.0009920816299999996,0.04746000000000001,LOW,Safe Haven Candidate. GDP Stable (-0.00%).
2025-04-09,Fiji,0.32,0.0,-164.6,-0.000355007,0.000210266,-0.0006816976999999998,0.4101652,LOW,Safe Haven Candidate. GDP Stable (-0.04%).
2025-04-09,Guyana,0.38,0.0,-4060.6,-0.000212691,0.000125974,-0.0019930571500000015,0.2457372,LOW,Safe Haven Candidate. GDP Stable (-0.02%).
2025-04-09,India,0.26,0.49,-45663.8,-0.070671587,0.041857813,0.0010096539600000648,65.1146878,HIGH,High Risk. Costs rising (4.19%). Monitor closely.
2025-04-09,Indonesia,0.32,0.24,-17882.6,-0.0344364,0.020396208,0.0011350451799999814,39.7868448,MEDIUM,Moderate Risk. Monitor situation.
2025-04-09,Iraq,0.39,0.0,-5761.7,-7.84e-05,4.65e-05,-0.002559406370000001,0.09061999999999999,LOW,Safe Haven Candidate. GDP Stable (-0.01%).
2025-04-09,Israel,0.17,0.07,,-0.010490496,0.006213377,0.0007972132599999987,12.120423,LOW,Safe Haven Candidate. GDP Stable (-1.05%).
2025-04-09,Japan,0.24,0.55,-68467.7,-0.079839806,0.047288024,0.003042387720000081,100.0,CRITICAL,CRITICAL ALERT: High Tariff (>15%) + Large Deficit (>$68B). Risk TRIPLED. Immediate exit advised.
2025-04-09,Jordan,0.2,0.02,-1334.1,-0.002869586,0.001699617,2.3950209999999608e-05,3.315439,LOW,Safe Haven Candidate. GDP Stable (-0.29%).
